time,denied,reversed,failed
00,0.162,0.006,0.0000
01,0.164,0.000,0.0000
02,0.136,0.000,0.0000
03,0.283,0.000,0.0000
04,0.152,0.000,0.0000
05,0.128,0.000,0.0000
06,0.092,0.006,0.0000
07,0.091,0.004,0.0000
08,0.098,0.004,0.0002
09,0.095,0.006,0.0000
10,0.092,0.005,0.0001
11,0.087,0.005,0.0000
12,0.085,0.004,0.0002
13,0.089,0.004,0.0001
14,0.106,0.005,0.0008
15,0.122,0.005,0.0011
16,0.111,0.005,0.0003
17,0.105,0.005,0.0000
18,0.110,0.005,0.0003
19,0.111,0.010,0.0000
20,0.117,0.008,0.0001
21,0.123,0.007,0.0000
22,0.129,0.004,0.0000
23,0.136,0.008,0.0005
00,0.160,0.006,0.0000
01,0.048,0.081,0.0000
02,0.077,0.000,0.0000
03,0.312,0.000,0.0000
04,0.070,0.000,0.0000
05,0.148,0.019,0.0000
06,0.091,0.004,0.0000
07,0.097,0.003,0.0000
08,0.099,0.003,0.0001
09,0.094,0.005,0.0000
10,0.093,0.006,0.0000
11,0.095,0.006,0.0000
12,0.086,0.007,0.0001
13,0.089,0.005,0.0001
14,0.089,0.005,0.0000
15,0.091,0.005,0.0000
16,0.124,0.005,0.0003
17,0.099,0.006,0.0000
18,0.091,0.005,0.0003
19,0.095,0.005,0.0001
20,0.108,0.005,0.0000
21,0.097,0.006,0.0000
22,0.125,0.004,0.0004
23,0.143,0.003,0.0000
